latitude,longitude,duration
48.021761,11.5933197,57 mins
48.0210411,11.7178912,1 hour 4 mins
48.021761,11.5933197,57 mins
48.1010422,11.289638,53 mins
48.0758919,11.4894477,1 hour 2 mins
48.5534948,11.747235,1 hour 40 mins
48.1515245,11.4665839,42 mins
48.0998271,11.7684525,59 mins
48.1298396,11.3558306,52 mins
48.1758554,11.468925,35 mins
48.0926885,11.5221456,38 mins
48.2267302,11.468188,57 mins
48.1107785,11.7315056,50 mins
48.0581867,11.6198015,51 mins
48.2365233,11.6419645,1 hour 29 mins
48.1164673,11.3554255,1 hour 8 mins
48.1023019,11.6042659,42 mins
48.1093444,11.6344389,59 mins
48.2412447,11.4410641,1 hour 1 min
48.1217156,11.6765525,59 mins
48.1174576,11.5912968,29 mins
48.1338568,11.6554261,56 mins
48.163206,11.5870477,21 mins
48.163206,11.5870477,21 mins
48.1564434,11.5708879,12 mins
48.0986967,11.5352461,31 mins
48.1090072,11.3272467,49 mins
,,N/A
48.0710514,11.6038414,50 mins
48.0933362,11.4030963,46 mins
